DMR_TRIP_IDENTIFIER,EFFORT_START_DATE,EFFORT_START_TIME,DMR_EFFORT_IDENTIFIER,START_LATITUDE,START_LONGITUDE,END_LATITUDE,END_LONGITUDE,REGION,STRATUM,STATION_TYPE,START_DEPTH,LENGTH_TOW_TIME,EFFORT_SEQ_NO,TOW_LENGTH_NM,WATER_TEMP_C,SALINITY,END_DEPTH,SURFACE_TEMP_C,SURFACE_SALINITY,TOW_QUALITY,GEAR_CONDITION,EFFORT_END_DATE,EFFORT_END_TIME,WAVE_HEIGHT,WIND,WIND_DIRECTION,GRID_ID
FL00,11/4/00,11:00,13,43.3987,-70.2338,43.3844,-70.2425,1,3,RA,48,00:20,-1184169,0.93,,,46.3,,,1,K,11/4/00,11:18,0,,,96
FL00,11/4/00,09:25,14,43.4058,-70.138,43.396,-70.1283,1,3,R,52,00:18,-1184170,0.74,10.5,33.03,47,10.5,32.92,2,A,11/4/00,09:45,0,,,100
FL00,11/4/00,12:25,15,43.50518,-70.04458,43.5178,-70.0328,2,3,R,55,00:20,-1184171,0.93,10.3,33.13,53.5,10.2,33.13,1,K,11/4/00,12:45,0,,,556
FL00,11/4/00,13:52,16,43.5177,-70.1136,43.502,-70.1101,2,3,R,42,00:20,-1184172,0.98,10.3,33.13,40,10.5,32.88,1,K,11/4/00,14:12,0,,,553
FL00,11/6/00,08:20,17,43.6487,-70.0962,43.6609,-70.0823,2,1,R,20.7,00:20,-1184173,0.95,10,32.47,19,9.8,32.43,1,K,11/6/00,08:40,0,,,362
FL00,11/6/00,10:48,18,43.725,-69.9106,43.7066,-69.9167,2,1,NA,12.5,00:20,-1184174,1.15,10.2,32.51,11.5,9.6,32.29,1,K,11/6/00,11:08,0,,,220
FL00,11/7/00,09:42,19,43.5986,-69.875,43.6103,-69.8601,2,3,NA,45,00:20,-1184175,1.01,10.4,33.13,47,10.3,32.94,1,K,11/7/00,10:02,0,,,463
FL00,11/7/00,12:16,20,43.6476,-69.8064,43.6614,-69.7889,2,1,NA,19,00:20,-1184176,1.14,10.4,32.88,21,10.1,32.52,1,K,11/7/00,12:36,0,,,375
FL00,11/7/00,14:26,21,43.7114,-69.7724,43.7015,-69.7633,2,1,R,16.6,00:20,-1184177,0.77,10.4,32.84,11.1,9.8,30.5,2,O,11/7/00,14:46,0,,,264
FL00,11/8/00,09:00,22,43.7935,-69.6454,43.8077,-69.6442,2,1,R,17,00:20,-1184178,0.87,9.8,32.79,21,10,32.8,1,K,11/8/00,09:20,0,,,108
FL00,11/8/00,10:54,23,43.742,-69.6499,43.7542,-69.6477,2,2,NA,34,00:20,-1184179,0.76,10.1,32.81,36,10.1,32.79,1,K,11/8/00,11:14,0,,,194
FL00,11/8/00,13:21,24,43.5411,-69.6942,43.5537,-69.7065,2,3,RA,62,00:20,-1184180,0.93,10.2,33.26,65,10.2,33.24,1,K,11/8/00,13:41,0,,,533
FL00,11/8/00,15:08,25,43.6245,-69.6013,43.6385,-69.595,2,3,NA,52,00:18,-1184181,0.9,10.3,33.23,56,10.3,33.01,2,A,11/8/00,15:26,0,,,446
FL00,11/9/00,08:35,26,43.8046,-69.5291,43.8119,-69.5376,2,2,NA,30,00:16,-1184182,0.58,10.1,32.81,30,10.1,32.69,2,A,11/9/00,08:51,0,,,88
FL00,11/9/00,10:34,27,43.8251,-69.4877,43.836,-69.4879,2,2,NA,36,00:18,-1184183,0.69,,,,,,2,A,11/9/00,10:52,0,,,55
FL00,11/9/00,12:55,28,43.904,-69.456,43.9142,-69.4454,2,1,R,10,00:18,-1184184,0.77,9.7,32.69,14,9.7,32.7,2,A,11/9/00,13:13,0,,,6
FL00,11/10/00,09:38,29,43.7021,-69.2933,43.6958,-69.2842,2,3,RA,58,00:14,-1184185,0.57,,,51,,,3,A,11/10/00,09:52,0,,,284
FL00,11/10/00,12:20,30,43.8446,-69.2924,43.8334,-69.3084,2,2,R,36,00:20,-1184186,0.99,10.4,32.95,32.5,10.1,32.46,1,K,11/10/00,12:40,0,,,63
FL00,11/13/00,10:32,31,43.8351,-69.1135,43.8492,-69.1103,3,2,R,34,00:19,-1184187,0.9,10.1,33.11,37.4,10,33.03,1,H,11/13/00,10:52,0,,,446
FL00,11/13/00,12:15,32,43.858,-69.0842,43.8758,-69.0798,3,2,R,32,00:18,-1184188,1.11,,,,,,2,A,11/13/00,12:33,0,,,399
FL00,11/13/00,13:57,33,43.9265,-69.122,43.9173,-69.1386,3,1,R,20,00:20,-1184189,0.94,10,32.65,19,10,32.43,1,K,11/13/00,14:18,0,,,317
FL00,11/13/00,15:30,34,43.953,-69.1426,43.9425,-69.1529,3,1,R,19,00:20,-1184190,0.79,,,20,,,1,K,11/13/00,15:50,0,,,290
FL00,11/14/00,10:48,35,44.39937,-68.8781,44.41168,-68.89313,3,1,R,11,00:20,-1184191,1.07,10.2,32.52,11,9.8,30.83,2,O,11/14/00,11:08,0,,,993
FL00,11/14/00,12:00,36,44.41567,-68.83356,44.40383,-68.84883,3,1,R,10,00:20,-1184192,0.977,,,10,,,1,K,11/14/00,12:20,0,,,995
FL00,11/14/00,14:03,37,44.1872,-68.8967,44.1758,-68.9122,3,2,R,26,00:20,-1184193,1.02,10,32.7,27,10,32.21,1,K,11/14/00,14:23,0,,,93
FL00,11/14/00,15:15,38,44.1306,-68.9756,44.1174,-68.9883,3,2,R,38,00:20,-1184194,1.11,,,34,,,1,K,11/14/00,15:35,0,,,126
FL00,11/15/00,08:45,39,43.8507,-68.9297,43.8417,-68.9301,3,1,R,16,00:10,-1184195,0.56,9.5,33.67,18,10,33.12,3,A,11/15/00,08:55,0,,,454
FL00,11/16/00,08:46,40,43.9285,-68.8612,43.9271,-68.8774,3,3,R,48,00:16,-1184196,0.75,9.9,33.03,49,9.9,33.01,2,A,11/16/00,09:02,0,,,328
FL00,11/16/00,10:59,41,43.9258,-68.7467,43.9188,-68.7634,3,3,NA,50,00:17,-1184197,0.84,10,32.95,48.8,9.9,32.86,1,K,11/16/00,11:16,0,,,359
FL00,11/16/00,12:34,42,43.8859,-68.7451,43.8942,-68.7573,3,3,R,48,00:25,-1184198,0.76,,,51,,,1,K,11/16/00,13:00,0,,,384
FL00,11/20/00,08:01,43,44.1417,-68.7586,44.1557,-68.7593,3,2,NA,28,00:20,-1184199,0.91,9.4,32.7,28.9,9,32.47,2,O,11/20/00,08:21,0,,,121
FL00,11/20/00,15:55,44,43.9039,-68.6356,43.9113,-68.6198,3,3,R,50,00:16,-1184200,0.95,10.1,33.02,49,9.4,32.61,2,O,11/20/00,16:11,0,,,364
FL00,11/21/00,07:52,45,44.1566,-68.544,44.1664,-68.526,4,1,R,16,00:18,-1184201,0.99,8.7,32.74,16,8.7,32.76,2,A,11/21/00,08:10,0,,,250
FL00,11/21/00,10:04,46,44.0078,-68.5552,44.0223,-68.5302,4,3,R,37.5,00:20,-1184202,1.41,9.3,32.84,42.5,9.4,32.6,1,K,11/21/00,10:24,0,,,492
FL00,11/21/00,12:40,47,43.9073,-68.5372,43.9201,-68.5279,4,3,R,50,00:20,-1184203,0.89,10.1,32.99,50,9.4,32.49,1,K,11/21/00,13:00,0,,,589
FL00,11/21/00,14:51,48,44.0436,-68.3214,44.0501,-68.3023,4,3,R,46,00:19,-1184204,0.94,9.7,32.81,48,9.5,32.62,1,K,11/21/00,15:10,0,,,456
FL00,11/22/00,07:30,49,44.134,-68.2498,44.144,-68.2628,4,2,R,30,00:20,-1184205,0.87,9.4,32.73,29.8,9.5,32.69,1,K,11/22/00,07:50,0,,,286
FL00,11/22/00,10:00,50,44.2142,-68.4205,44.2046,-68.4385,4,1,R,15,00:25,-1184206,0.99,8.8,32.73,16,8.8,32.75,3,K,11/22/00,10:27,0,,,175
FL00,11/22/00,12:15,51,44.3695,-68.4827,44.3848,-68.4902,4,1,RA,13,00:20,-1184207,1.01,9.1,32.54,13,8.8,32.56,1,K,11/22/00,12:35,0,,,31
FL00,11/27/00,12:20,52,44.1185,-68.1016,44.1064,-68.0862,4,3,R,50,00:20,-1184208,0.99,9.4,32.68,48.5,9.8,32.43,1,K,11/27/00,12:40,0,,,322
FL00,11/27/00,14:41,53,44.2217,-68.075,44.2317,-68.0955,4,3,NA,38,00:20,-1184209,0.97,8.9,32.25,40,9.1,32.37,2,O,11/27/00,15:01,0,,,165
FL00,11/28/00,06:36,54,44.3068,-68.1718,44.3203,-68.1576,4,2,R,26,00:20,-1184210,1.01,8.4,32.75,28,8.8,32.49,1,K,11/28/00,06:56,0,,,77
FL00,11/28/00,08:08,55,44.2889,-68.1292,44.2726,-68.1247,4,2,NA,35,00:20,-1184211,1.03,8.6,32.68,35,8.8,32.41,1,K,11/28/00,08:28,0,,,94
FL00,11/28/00,09:45,56,44.3618,-68.1563,44.378,-68.1559,4,2,R,28,00:20,-1184212,1.01,8.2,32.73,27,8.7,32.55,1,K,11/28/00,10:05,0,,,37
FL00,11/28/00,11:00,57,44.4063,-68.2264,44.411,-68.2293,4,1,R,8.5,00:20,-1184213,0.33,7.9,32.67,8,8,32.59,1,K,11/28/00,11:20,0,,,15
FL00,11/28/00,12:22,58,44.4434,-68.297,44.4526,-68.3149,4,1,R,5.9,00:20,-1184214,0.95,,,10,,,1,K,11/28/00,12:42,0,,,911
FL00,11/29/00,08:08,59,44.1614,-67.8835,44.1492,-67.9042,4,3,R,51.8,00:20,-1184215,1.19,9.8,32.88,53.7,9,31.98,1,K,11/29/00,08:08,0,,,273
FL00,11/29/00,09:26,60,44.1623,-67.9533,44.1498,-67.9707,4,3,R,46,00:22,-1184216,1.03,,,48,,,2,K,11/29/00,09:48,0,,,270
FL00,11/29/00,13:46,61,44.2915,-67.9933,44.2858,-68.0128,4,2,R,36,00:19,-1184217,0.93,8.8,32.46,35,9.1,32,1,K,11/29/00,14:05,0,,,99
FL00,11/30/00,08:28,62,44.2968,-67.8075,44.3025,-67.7864,5,2,R,36,00:15,-1184218,0.99,9.5,32.68,36,8.9,32.44,2,A,11/30/00,08:43,0,,,615
FL00,11/30/00,10:15,63,44.3341,-67.8553,44.3177,-67.8541,5,2,R,30,00:22,-1184219,1.03,8.5,32.41,32,8.8,32.36,2,O,11/30/00,10:37,0,,,511
FL00,11/30/00,12:10,64,44.3863,-67.9405,44.3966,-67.9197,5,1,R,16.6,00:20,-1184220,1.14,8.7,32.38,17,8.6,32.42,1,K,11/30/00,12:20,0,,,428
FL00,11/30/00,13:45,65,44.3799,-68.0242,44.3598,-68.01,5,1,RA,16,00:20,-1184221,1.21,9,32.5,15,,,1,K,11/30/00,14:05,0,,,453
FL00,12/1/00,09:34,66,44.2711,-67.6418,44.2815,-67.624,5,3,R,52,00:20,-1184222,0.78,8.9,32.68,52,9,32.37,1,K,12/1/00,09:54,0,,,588
FL00,12/1/00,11:13,67,44.3,-67.6885,44.3033,-67.6572,5,3,R,49.7,00:21,-1184223,1.41,9,32.67,45.5,9.2,32.66,1,K,12/1/00,11:34,0,,,566
FL00,12/1/00,14:04,68,44.4185,-67.7505,44.4329,-67.7234,5,1,RA,24,00:20,-1184224,1.5,8.3,32.48,24,8.2,32.43,1,K,12/1/00,14:24,0,,,261
FL00,12/1/00,15:10,69,44.4548,-67.7262,44.465,-67.7145,5,1,RA,16,00:20,-1184225,0.83,7.7,32.4,14,8,32.4,1,K,12/1/00,15:30,0,,,264
FL00,12/2/00,07:13,70,44.4566,-67.6402,44.4733,-67.6357,5,1,R,15,00:20,-1184226,1.04,7.5,32.64,14,7.8,32.56,1,K,12/2/00,07:33,0,,,268
FL00,12/2/00,09:17,71,44.3866,-67.5442,44.3964,-67.5247,5,3,R,46.5,00:21,-1184227,1.13,8.9,32.73,46,8.8,32.71,1,K,12/2/00,09:38,0,,,406
FL00,12/2/00,11:35,72,44.4561,-67.382,44.4651,-67.3621,5,2,RA,36,00:22,-1184228,1.08,9,32.75,36,9,32.74,2,K,12/2/00,11:57,0,,,275
FL00,12/2/00,14:03,73,44.5413,-67.5056,44.5474,-67.483,5,1,R,16.6,00:23,-1184229,1.06,8.1,32.78,18.1,8.2,32.78,2,O,12/2/00,14:26,0,,,173
FL00,12/3/00,08:13,74,44.5834,-67.3111,44.5922,-67.2797,5,2,R,31,00:20,-1184230,1.49,,,31.8,,,1,K,12/3/00,08:33,0,,,118
FL00,12/3/00,10:10,75,44.6099,-67.2209,44.6151,-67.1827,5,3,R,48.5,00:20,-1184231,1.51,9,32.84,48,9,32.83,1,K,12/3/00,10:30,0,,,314
FL00,12/3/00,12:25,76,44.4596,-67.2063,44.4428,-67.2007,5,3,R,59,00:15,-1184232,0.85,9.1,32.68,59,8.8,32.22,2,A,12/3/00,12:40,0,,,103
FL00,12/4/00,08:52,77,44.6956,-67.0423,44.7055,-67.0196,5,3,RA,46.8,00:20,-1184233,1.16,8.9,32.77,43.8,8.7,32.68,2,K,12/4/00,09:12,0,,,38
FL00,12/4/00,10:45,78,44.6968,-66.9431,44.7153,-66.9389,5,3,R,55.2,00:20,-1184234,1.17,,,55.8,,,1,K,12/4/00,11:05,0,,,41
FL01,10/4/01,07:45,31,43.7348,-69.6488,43.7482,-69.6441,2,2,F,36.6,00:21,-1184376,0.87,,,32.8,,,2,O,10/4/01,08:06,0,,,194
FL01,10/4/01,10:32,32,43.7113,-69.5309,43.7212,-69.5174,2,3,R,57,00:20,-1184377,0.87,,,62,,,2,O,10/4/01,10:52,0,,,236
FL01,10/4/01,12:32,33,43.7344,-69.505,43.7511,-69.5043,2,3,R,59,00:22,-1184378,1.01,,,59,,,2,O,10/4/01,12:56,0,,,199
FL01,10/5/01,09:13,34,43.7227,-69.4074,43.7106,-69.4188,2,3,R,51.6,00:21,-1184379,0.93,,,52.1,,,1,K,10/5/01,09:34,0,,,240
FL01,10/5/01,11:06,35,43.8414,-69.4826,43.8281,-69.4833,2,2,F,33.9,00:20,-1184380,0.93,,,38,,,1,K,10/5/01,11:26,0,,,55
FL01,10/5/01,12:55,36,43.8566,-69.5279,43.8426,-69.5265,2,1,R,15.9,00:20,-1184381,0.87,,,24.9,,,1,K,10/5/01,13:15,0,,,41
FL01,10/8/01,09:39,37,43.8561,-69.0831,43.8699,-69.0793,3,2,F,33.3,00:20,-1184382,0.88,10.1,32.67,33.5,11.6,32.31,1,K,10/8/01,09:59,0,,,399
FL01,10/8/01,11:20,38,43.7979,-69.1223,43.8141,-69.1136,3,3,RA,50.3,00:22,-1184383,1.05,9.3,32.88,41.8,11.7,32.32,2,K,10/8/01,11:42,0,,,497
FL01,10/8/01,14:22,39,43.759,-69.1287,43.7474,-69.134,3,3,RA,51.2,00:15,-1184384,0.74,,,48.5,,,2,A,10/8/01,14:37,0,,,570
FL01,10/9/01,08:46,40,44.3371,-68.8314,44.323,-68.8346,3,2,RA,26.9,00:20,-1184385,0.91,12.1,32.33,23.6,12.3,30.38,1,K,10/9/01,09:06,0,,,4
FL01,10/9/01,10:00,41,44.2744,-68.8911,44.2878,-68.8846,3,1,F,14.6,00:21,-1184386,0.88,12,32.36,15.2,12.6,30.75,1,K,10/9/01,10:21,0,,,14
FL01,10/9/01,15:04,42,43.9214,-69.1271,43.9322,-69.1171,3,1,F,18.6,00:20,-1184387,0.84,11.1,32.54,20.9,11.5,32.34,2,O,10/9/01,15:24,0,,,317
FL01,10/10/01,08:34,43,43.7972,-69.0426,43.8105,-69.0345,3,3,R,42.7,00:20,-1184388,0.91,9.8,32.8,39.2,11.3,32.37,1,K,10/10/01,08:54,0,,,501
FL01,10/10/01,12:06,44,43.6149,-68.9355,43.6022,-68.9472,3,3,R,66.7,00:20,-1184389,0.93,9,33.05,69.3,11.1,32.59,1,K,10/10/01,12:26,0,,,836
FL01,10/10/01,15:15,45,43.7826,-68.7055,43.7738,-68.7163,3,3,NA,56.9,00:19,-1184390,0.73,8.9,33.1,,11,32.65,1,K,10/10/01,15:34,0,,,564
FL01,10/11/01,08:29,46,44.0998,-68.7686,44.1128,-68.7768,3,1,RA,14.5,00:20,-1184391,0.89,,,13.4,,,1,K,10/11/01,08:49,0,,,143
FL01,10/11/01,11:38,47,44.1602,-68.7868,44.1707,-68.7985,3,1,R,8.6,00:19,-1184392,0.84,,,7.6,,,3,O,10/11/01,11:57,0,,,96
FL01,10/11/01,12:56,48,44.138,-68.7532,44.1572,-68.7562,3,2,F,28.3,00:21,-1184393,0.95,,,26.6,,,1,K,10/11/01,13:17,,,,121
FL01,10/12/01,07:35,49,43.8968,-68.7558,43.9143,-68.7522,3,3,F,47,00:20,-1184394,1.07,,,52.2,,,1,K,10/12/01,07:58,0,,,359
FL01,10/12/01,09:32,50,43.9166,-68.6212,43.9092,-68.6418,3,3,F,48,00:18,-1184395,1.02,,,49.6,,,2,K,10/12/01,09:50,0,,,364
FL01,10/12/01,11:00,51,43.9202,-68.6329,43.9221,-68.6544,3,3,R,47,00:20,-1184396,0.95,,,50.4,,,1,K,10/12/01,11:20,0,,,338
FL01,10/15/01,08:10,52,44.0086,-68.5556,44.0192,-68.5397,4,3,F,42.6,00:20,-1184397,0.96,,,39.4,,,1,K,10/15/01,08:30,0,,,492
FL01,10/15/01,10:22,53,43.9442,-68.4451,43.928,-68.4459,4,3,RA,55.3,00:20,-1184398,0.97,9.3,32.99,58.4,10.7,32.65,1,K,10/15/01,10:42,0,,,575
FL01,10/15/01,13:53,54,44.1677,-68.528,44.1576,-68.5431,4,1,F,15.5,00:20,-1184399,0.89,,,11.4,,,2,O,10/15/01,14:13,0,,,250
FL01,10/16/01,07:35,55,44.2811,-68.5209,44.271,-68.5029,4,1,R,17.3,00:20,-1184400,1.02,12.5,32.27,16.2,12.8,32.02,1,K,10/16/01,07:55,0,,,100
FL01,10/16/01,08:56,56,44.3311,-68.5485,44.3169,-68.547,4,1,RA,17.3,00:20,-1184401,0.88,12.4,31.67,17.4,12.8,31.43,1,K,10/16/01,09:16,0,,,58
FL01,10/16/01,10:31,57,44.3642,-68.4875,44.3756,-68.4942,4,1,RA,12,00:16,-1184402,0.88,,,12,,,2,K,10/16/01,10:47,0,,,31
FL01,10/16/01,13:00,58,44.2051,-68.4365,44.2131,-68.4199,4,1,F,14.5,00:19,-1184403,0.92,,,16.4,,,1,H,10/16/01,13:19,0,,,175
FL01,10/18/01,08:44,59,44.4582,-68.2236,44.466,-68.2062,4,1,RA,11.5,00:21,-1184404,0.92,11.5,32.49,10.3,11.7,32.42,1,,10/18/01,09:05,0,,,2
FL01,10/18/01,10:02,60,44.4315,-68.1975,44.4426,-68.1813,4,2,R,26.7,00:21,-1184405,0.95,11.5,32.49,23.1,11.6,32.74,1,K,10/18/01,10:23,0,,,7
FL01,10/19/01,10:19,61,44.2993,-68.1255,44.2843,-68.1273,4,2,F,34.4,00:21,-1184406,0.89,10.5,32.71,35.9,11,32.58,1,K,10/19/01,10:40,0,,,94
FL01,10/19/01,11:26,62,44.3501,-68.1125,44.336,-68.11,4,2,R,32.4,00:20,-1184407,0.88,10.7,32.64,31.9,11.1,32.56,1,K,10/19/01,11:46,0,,,55
FL01,10/19/01,15:22,63,44.0262,-68.2184,44.0381,-68.209,4,3,R,55.7,00:20,-1184408,0.86,9.3,33.1,56.1,10.7,32.63,1,K,10/19/01,15:42,0,,,482
FL01,10/19/01,16:53,64,44.0251,-68.3019,44.0302,-68.2818,4,3,R,51.5,00:23,-1184409,0.92,9.2,33.08,52.1,10.9,32.6,2,K,10/19/01,17:16,0,,,479
FL01,10/20/01,08:31,65,44.0543,-68.1338,44.069,-68.1205,4,3,R,56,00:20,-1184410,1.07,9,33.29,55,10.6,32.64,1,K,10/20/01,08:51,0,,,438
FL01,10/20/01,10:17,66,44.0565,-68.0511,44.0482,-68.0664,4,3,NA,62.6,00:20,-1184411,0.85,9,33.23,60.8,10.6,32.64,1,K,10/20/01,10:37,0,,,613
FL01,10/20/01,12:14,67,44.1381,-67.945,44.1276,-67.9591,4,3,R,55.1,00:20,-1184412,0.9,9.4,33.06,56.3,10.7,32.6,1,K,10/20/01,12:34,0,,,300
FL01,10/20/01,13:33,68,44.1456,-68.0246,44.1454,-68.0053,4,3,R,49.9,00:21,-1184413,0.86,9.3,33.09,53.2,10.7,32.61,1,K,10/20/01,13:54,0,,,268
FL01,10/20/01,15:12,69,44.2127,-68.0761,44.205,-68.0582,4,3,F,39.9,00:20,-1184414,0.93,9.7,32.7,45.1,10.9,32.59,2,O,10/20/01,15:32,0,,,165
FL01,10/22/01,08:42,70,44.2493,-67.9102,44.242,-67.9277,5,3,RA,38,00:21,-1184415,0.89,,,37.5,,,1,K,10/22/01,09:03,0,,,606
FL01,10/23/01,08:00,71,44.3003,-67.4955,44.2902,-67.5155,5,3,NA,62.5,00:20,-1184416,1.08,,,54.9,,,1,K,10/23/01,08:20,0,,,681
FL01,10/23/01,09:46,72,44.3026,-67.6796,44.3033,-67.6571,5,3,F,47,00:21,-1184417,0.99,,,48,,,1,K,10/23/01,10:07,0,,,566
FL01,10/23/01,11:01,73,44.3187,-67.7258,44.3124,-67.7062,5,3,R,44,00:20,-1184418,0.96,,,45.4,,,1,K,10/23/01,11:21,0,,,540
FL01,10/25/01,11:00,74,44.4014,-67.0811,44.3965,-67.0991,5,3,RA,68.9,00:20,-1184419,0.88,,,72.7,,,1,K,10/25/01,11:20,0,,,423
FL01,10/25/01,12:12,75,44.4016,-67.0365,44.3866,-67.0399,5,3,RA,63.5,00:22,-1184420,0.96,,,71,,,1,K,10/25/01,12:34,0,,,389
FL01,9/24/01,07:45,1,42.9337,-70.7499,42.9243,-70.7584,1,1,F,14.9,00:20,-1184346,0.68,,,14.1,,,1,K,9/24/01,08:05,0,,,472
FL01,9/24/01,09:21,2,42.879,-70.6959,42.8915,-70.685,1,2,R,27,00:20,-1184347,0.89,,,30,,,1,K,9/24/01,09:41,0,,,513
FL01,9/24/01,11:00,3,42.8728,-70.6595,42.8605,-70.6708,1,2,R,35,00:20,-1184348,0.89,,,32.7,,,1,K,9/24/01,11:20,0,,,546
FL01,9/24/01,12:25,4,42.8608,-70.7365,42.8466,-70.7403,1,1,RA,19,00:20,-1184349,0.88,,,18.3,,,1,K,9/24/01,12:45,0,,,543
FL01,9/25/01,08:23,5,43.0499,-70.3564,43.0414,-70.3722,1,3,R,65.5,00:20,-1184350,0.88,,,63.1,,,1,K,9/25/01,08:43,0,,,687
FL01,9/25/01,10:31,6,43.0037,-70.467,43.0154,-70.4575,1,3,R,51,00:21,-1184351,0.82,,,51,,,1,K,9/25/01,10:52,0,,,411
FL01,9/26/01,07:25,7,43.3037,-70.5095,43.2909,-70.5149,1,1,R,17.1,00:20,-1184352,0.82,,,19,,,1,K,9/26/01,07:45,0,,,170
FL01,9/26/01,08:32,8,43.296,-70.4883,43.2856,-70.5036,1,1,F,18,00:18,-1184353,0.91,,,18,,,2,A,9/26/01,08:50,0,,,171
FL01,9/26/01,11:09,9,43.1544,-70.3733,43.1453,-70.3913,1,3,F,48,00:20,-1184354,0.97,,,47.1,,,1,K,9/26/01,11:29,0,,,305
FL01,9/26/01,15:27,10,42.9543,-70.4738,42.9613,-70.4593,1,3,RA,52.5,00:21,-1184355,0.76,,,54.6,,,1,K,9/26/01,15:48,0,,,454
FL01,9/26/01,16:48,11,42.9383,-70.5113,42.9525,-70.5003,1,3,R,47,00:18,-1184356,0.99,,,48.2,,,2,A,9/26/01,17:06,0,,,468
FL01,9/27/01,09:32,12,43.3666,-70.1938,43.3713,-70.2094,1,3,R,55,00:20,-1184357,0.75,,,55,,,1,K,9/27/01,09:52,0,,,123
FL01,9/27/01,11:16,13,43.4037,-70.1359,43.3937,-70.1212,1,3,F,59,00:18,-1184358,0.9,,,58.6,,,2,A,9/27/01,11:34,0,,,100
FL01,9/27/01,13:18,14,43.4205,-70.2323,43.4335,-70.2187,1,3,R,47,00:20,-1184359,0.99,,,46,,,1,K,9/27/01,13:38,0,,,71
FL01,9/27/01,15:01,15,43.4183,-70.2913,43.4341,-70.2801,1,2,F,29,00:19,-1184360,1.08,,,30,,,1,H,9/27/01,15:20,0,,,68
FL01,9/28/01,09:23,16,43.5317,-70.2805,43.534,-70.2638,1,1,R,12.3,00:20,-1184361,0.77,,,13.8,,,2,O,9/28/01,09:43,0,,,5
FL01,9/28/01,11:06,17,43.4705,-70.2679,43.4791,-70.2738,1,2,R,25,00:15,-1184362,0.6,,,23,,,3,O,9/28/01,11:21,0,,,35
FL01,10/1/01,09:39,18,43.6681,-69.9757,43.6494,-69.9806,2,2,NA,29.1,00:20,-1184363,1.16,,,31.6,,,1,K,10/1/01,09:59,0,,,367
FL01,10/1/01,11:44,19,43.519,-70.0311,43.5296,-70.0188,2,3,F,56,00:20,-1184364,0.85,,,54.5,,,1,K,10/1/01,12:04,0,,,556
FL01,10/1/01,13:55,20,43.4967,-70.2088,43.5085,-70.1968,1,2,F,34,00:20,-1184365,0.9,,,34,,,1,K,10/1/01,14:15,0,,,27
FL01,10/2/01,08:48,21,43.5904,-69.9334,43.5929,-69.9513,2,3,R,48.6,00:21,-1184366,0.83,,,49.2,,,1,K,10/2/01,09:09,0,,,484
