DMR_TRIP_IDENTIFIER,DMR_EFFORT_IDENTIFIER,REGION,STRATUM,COMMON_NAME,SAMPLE_LENGTH,FREQUENCY,SAMPLE_TYPE,SEX,MATURITY_TYPE,DMR_TRAWL_FISHID,DMR_SAMPLE_IDENTIFIER,AGE,SAMPLE_WEIGHT,GUT_FULLNESS
FL01,51,3,3,flounder winter,27,1,Bio,Female,I,G106,40,,280,
FL01,51,3,3,flounder winter,29,1,Bio,Female,T,G106,41,,337,
FL01,51,3,3,flounder winter,35,1,Bio,Female,T,G106,42,,525,
FL01,52,4,3,flounder winter,12,1,Bio,Male,I,G106,40,,16,
FL01,52,4,3,flounder winter,14,1,Bio,Female,I,G106,39,,33,
FL01,52,4,3,flounder winter,18,1,Bio,Male,T,G106,38,,56,
FL01,52,4,3,flounder winter,20,1,Bio,Female,I,G106,37,,90,
FL01,52,4,3,flounder winter,21,1,Bio,Female,I,G106,36,,93,
FL01,52,4,3,flounder winter,22,1,Bio,Male,T,G106,35,,111,
FL01,52,4,3,flounder winter,33,1,Bio,Female,T,G106,34,,460,
FL01,53,4,3,flounder winter,22,1,Bio,Female,I,G106,43,,113,
FL01,53,4,3,flounder winter,31,1,Bio,Female,T,G106,41,,420,
FL01,53,4,3,flounder winter,34,1,Bio,Female,T,G106,42,,512,
FL01,53,4,3,flounder winter,40,1,Bio,Female,T,G106,40,,780,
FL01,70,5,3,flounder winter,19,1,Bio,Female,T,G106,32,,100,
FL01,70,5,3,flounder winter,20,1,Bio,Female,T,G106,31,,80,
FL01,70,5,3,flounder winter,21,1,Bio,Female,T,G106,30,,95,
FL01,70,5,3,flounder winter,23,1,Bio,Female,I,G106,28,,130,
FL01,70,5,3,flounder winter,24,1,Bio,Female,T,G106,29,,106,
FL01,70,5,3,flounder winter,26,1,Bio,Female,T,G106,27,,225,
FL01,72,5,3,flounder winter,20,1,Bio,Female,I,G106,45,,79,
FL01,72,5,3,flounder winter,22,1,Bio,Male,T,G106,46,,110,
FL01,72,5,3,flounder winter,24,1,Bio,Female,T,G106,39,,176,
FL01,72,5,3,flounder winter,25,1,Bio,Female,T,G106,40,,160,
FL01,72,5,3,flounder winter,26,1,Bio,Female,T,G106,41,,185,
FL01,72,5,3,flounder winter,27,1,Bio,Female,I,G106,44,,255,
FL01,72,5,3,flounder winter,28,1,Bio,Female,T,G106,42,,274,
FL01,72,5,3,flounder winter,30,1,Bio,Female,T,G106,43,,315,
FL01,72,5,3,flounder winter,37,1,Bio,Female,T,G106,38,,599,
FL01,73,5,3,flounder winter,19,1,Bio,Female,I,G106,32,,68,
FL01,73,5,3,flounder winter,20,1,Bio,Male,I,G106,30,,81,
FL01,73,5,3,flounder winter,21,1,Bio,Male,D,G106,38,,105,
FL01,73,5,3,flounder winter,22,1,Bio,Male,T,G106,31,,107,
FL01,73,5,3,flounder winter,23,1,Bio,Female,I,G106,36,,137,
FL01,73,5,3,flounder winter,24,1,Bio,Female,T,G106,37,,126,
FL01,73,5,3,flounder winter,27,1,Bio,Female,D,G106,34,,246,
FL01,73,5,3,flounder winter,29,1,Bio,Female,T,G106,35,,274,
FL01,73,5,3,flounder winter,30,1,Bio,Female,T,G106,33,,287,
FL01,74,5,3,flounder winter,20,1,Bio,Female,I,G106,33,,95,
FL01,74,5,3,flounder winter,30,1,Bio,Female,D,G106,35,,296,
FL01,74,5,3,flounder winter,31,1,Bio,Female,T,G106,32,,299,
FL01,74,5,3,flounder winter,32,1,Bio,Female,T,G106,34,,430,
FL04,11,1,3,cod atlantic,55,1,Bio,Male,T,G073,17,,1700,
FL04,11,1,3,pollock,68,1,Bio,Male,T,G075,18,,3940,
FL04,12,1,4,hake white,46,1,Bio,Male,R,G076,23,,,
FL04,12,1,4,hake white,72,1,Bio,Male,R,G076,22,,3130,
FL04,12,1,4,hake white,82,1,Bio,Male,R,G076,20,,4680,
FL04,12,1,4,hake white,85,1,Bio,Female,T,G076,21,,7380,
FL04,12,1,4,hake white,91,1,Bio,Female,T,G076,24,,7100,
FL04,13,1,4,cod atlantic,69,1,Bio,Female,D,G073,30,,4100,
FL04,13,1,4,cod atlantic,80,1,Bio,Male,D,G073,29,,7460,
FL04,13,1,4,hake white,28,1,Bio,Male,I,G076,38,,270,
FL04,13,1,4,hake white,32,1,Bio,Female,I,G076,33,,340,
FL04,13,1,4,hake white,33,1,Bio,Male,I,G076,36,,380,
FL04,13,1,4,hake white,34,1,Bio,Female,I,G076,37,,360,
FL04,13,1,4,hake white,41,1,Bio,Male,D,G076,39,,740,
FL04,13,1,4,hake white,44,1,Bio,Male,D,G076,35,,780,
FL04,13,1,4,hake white,50,1,Bio,Female,I,G076,34,,1220,
FL04,13,1,4,hake white,65,1,Bio,Male,R,G076,32,,2320,
FL04,13,1,4,hake white,87,1,Bio,Female,T,G076,31,,7090,
FL04,14,1,4,cod atlantic,67,1,Bio,Male,T,G073,40,,3050,
FL04,20,2,4,cod atlantic,47,1,Bio,Male,I,G073,55,,1065,
FL04,20,2,4,cod atlantic,50,1,Bio,Male,I,G073,56,,1113,
FL04,59,4,4,cod atlantic,49,1,Bio,Female,T,G073,528,,1160,
FL04,80,5,4,cod atlantic,65,1,Bio,Female,T,G073,1102,,2880,
FL04,80,5,4,cod atlantic,70,1,Bio,Female,D,G073,1104,,3460,
FL04,80,5,4,cod atlantic,77,1,Bio,Male,T,G073,1103,,4880,
FL04,80,5,4,cod atlantic,99,1,Bio,Female,T,G073,1101,,10040,
FL04,80,5,4,hake white,55,1,Bio,Female,T,G076,1105,,1160,
FL04,80,5,4,hake white,72,1,Bio,Female,T,G076,1106,,2820,
FL04,81,5,3,cod atlantic,27,1,Bio,Female,D,G073,1113,,180,
FL04,81,5,3,cod atlantic,27,1,Bio,Female,I,G073,1112,,140,
FL04,81,5,3,cod atlantic,28,1,Bio,Male,I,G073,1117,,190,
FL04,81,5,3,cod atlantic,29,1,Bio,Female,D,G073,1115,,220,
FL04,81,5,3,cod atlantic,29,1,Bio,Female,T,G073,1121,,200,
FL04,81,5,3,cod atlantic,29,1,Bio,Female,T,G073,1122,,200,
FL04,81,5,3,cod atlantic,30,1,Bio,Male,T,G073,1120,,220,
FL04,81,5,3,cod atlantic,31,1,Bio,Female,T,G073,1114,,260,
FL04,81,5,3,cod atlantic,32,1,Bio,Female,T,G073,1116,,300,
FL04,81,5,3,cod atlantic,34,1,Bio,Male,I,G073,1119,,320,
FL04,81,5,3,cod atlantic,36,1,Bio,Female,D,G073,1118,,420,
FL04,81,5,3,cod atlantic,36,1,Bio,Female,T,G073,1111,,460,
FL04,81,5,3,cod atlantic,111,1,Bio,Male,T,G073,1110,,19860,
FL04,82,5,2,cod atlantic,17,1,Bio,Male,I,G073,1151,,39,
FL04,82,5,2,cod atlantic,24,1,Bio,Male,I,G073,1142,,124,
FL04,82,5,2,cod atlantic,24,1,Bio,Male,I,G073,1138,,105,
FL04,82,5,2,cod atlantic,27,1,Bio,Female,I,G073,1143,,178,
FL04,82,5,2,cod atlantic,27,1,Bio,Male,I,G073,1146,,176,
FL04,82,5,2,cod atlantic,27,1,Bio,Male,I,G073,1149,,173,
FL04,82,5,2,cod atlantic,28,1,Bio,Male,I,G073,1135,,212,
FL04,82,5,2,cod atlantic,28,1,Bio,Male,I,G073,1141,,206,
FL04,82,5,2,cod atlantic,28,1,Bio,Male,I,G073,1150,,188,
FL04,82,5,2,cod atlantic,29,1,Bio,Female,T,G073,1147,,219,
FL04,82,5,2,cod atlantic,29,1,Bio,Male,I,G073,1137,,233,
FL04,82,5,2,cod atlantic,30,1,Bio,Female,T,G073,1128,,275,
FL04,82,5,2,cod atlantic,30,1,Bio,Female,T,G073,1131,,268,
FL04,82,5,2,cod atlantic,30,1,Bio,Female,T,G073,1145,,261,
FL04,82,5,2,cod atlantic,31,1,Bio,Female,I,G073,1130,,291,
FL04,82,5,2,cod atlantic,32,1,Bio,Female,T,G073,1134,,310,
FL04,82,5,2,cod atlantic,32,1,Bio,Female,I,G073,1139,,322,
FL04,82,5,2,cod atlantic,33,1,Bio,Male,I,G073,1136,,358,
FL04,82,5,2,cod atlantic,33,1,Bio,Male,I,G073,1133,,380,
FL04,82,5,2,cod atlantic,34,1,Bio,Male,T,G073,1152,,365,
FL04,82,5,2,cod atlantic,34,1,Bio,Female,T,G073,1144,,398,
FL04,82,5,2,cod atlantic,34,1,Bio,Male,I,G073,1140,,412,
FL04,82,5,2,cod atlantic,35,1,Bio,Male,T,G073,1153,,415,
FL04,82,5,2,cod atlantic,36,1,Bio,Female,T,G073,1148,,431,
FL04,82,5,2,cod atlantic,37,1,Bio,Female,T,G073,1129,,533,
FL04,82,5,2,cod atlantic,39,1,Bio,Female,T,G073,1132,,624,
FL05,1,1,1,haddock,11,1,Bio,Male,I,G074,3700,0,12,
FL05,1,1,1,haddock,12,1,Bio,Male,I,G074,3699,0,13,
FL05,1,1,1,haddock,13,1,Bio,Male,I,G074,3698,0,22,0.25 cc
FL05,1,1,1,hake silver (whiting),16,1,Bio,Male,I,G072,3710,,27,
FL05,1,1,1,hake silver (whiting),17,1,Bio,Male,I,G072,3709,,38,
FL05,1,1,1,hake silver (whiting),19,1,Bio,Female,I,G072,3706,,48,2.0 cc
FL05,1,1,1,hake silver (whiting),20,1,Bio,Female,T,G072,3703,,60,2.5 cc
FL05,1,1,1,hake silver (whiting),20,1,Bio,,,G072,3704,,53,
FL05,1,1,1,hake silver (whiting),21,1,Bio,Female,T,G072,3705,,59,
FL05,1,1,1,hake silver (whiting),22,1,Bio,Female,I,G072,3702,,63,Empty
FL05,1,1,1,hake silver (whiting),23,1,Bio,Male,S,G072,3708,,81,
FL05,1,1,1,hake silver (whiting),27,1,Bio,Female,D,G072,3707,,115,
FL05,1,1,1,hake silver (whiting),29,1,Bio,Female,R,G072,3701,,199,1.5 cc
FL05,1,1,1,hake white,17,1,Bio,Female,I,G076,3711,,40,2.5 cc
FL05,1,1,1,hake white,19,1,Bio,Female,I,G076,3712,,46,1.0 cc
FL05,1,1,1,plaice american (dab),15,1,Bio,Female,I,G102,3697,,25,
FL05,1,1,1,sea raven,45,1,Bio,Female,T,G164,3713,,1599,75 cc
FL05,2,1,2,monkfish,31,1,Bio,Male,T,G197,3737,,380,empty
FL05,2,1,2,monkfish,43,1,Bio,Female,T,G197,3736,,1120,50 cc
FL05,3,1,2,cod atlantic,13,1,Bio,Female,I,G073,3914,,18,empty
FL05,3,1,2,flounder atlantic witch (gray sole),37,1,Bio,Female,T,G107,3930,,324,
FL05,3,1,2,hake silver (whiting),21,1,Bio,Female,I,G072,3921,,45,
FL05,3,1,2,hake silver (whiting),23,1,Bio,Male,S,G072,3917,,152,.01 cc
FL05,3,1,2,hake silver (whiting),23,1,Bio,Male,S,G072,3923,,74,
FL05,3,1,2,hake silver (whiting),25,1,Bio,Female,D,G072,3924,,118,
FL05,3,1,2,hake silver (whiting),26,1,Bio,Female,R,G072,3915,,151,empty
FL05,3,1,2,hake silver (whiting),26,1,Bio,Male,S,G072,3922,,110,
FL05,3,1,2,hake silver (whiting),27,1,Bio,Female,D,G072,3918,,111,2.0 cc
FL05,3,1,2,hake silver (whiting),27,1,Bio,Female,D,G072,3919,,159,
FL05,3,1,2,hake silver (whiting),28,1,Bio,Female,D,G072,3920,,115,
FL05,3,1,2,hake silver (whiting),31,1,Bio,Female,R,G072,3916,,215,empty
FL05,3,1,2,hake silver (whiting),40,1,Bio,Female,D,G072,3925,,517,2.5 cc
FL05,3,1,2,hake white,28,1,Bio,Female,I,G076,3928,,158,1.0 cc
FL05,3,1,2,hake white,31,1,Bio,Male,I,G076,3927,,242,11.0 cc
FL05,3,1,2,hake white,34,1,Bio,Female,I,G076,3929,,322,17.0 cc
FL05,3,1,2,monkfish,70,1,Bio,Female,S,G197,3931,,5740,
FL05,3,1,2,monkfish,75,1,Bio,Female,T,G197,3932,,6790,
FL05,3,1,2,plaice american (dab),11,1,Bio,Male,I,G102,3889,,10,
FL05,3,1,2,plaice american (dab),11,1,Bio,Male,I,G102,3904,,12,
FL05,3,1,2,plaice american (dab),12,1,Bio,Male,I,G102,3893,,13,
FL05,3,1,2,plaice american (dab),12,1,Bio,Male,I,G102,3895,,10,
FL05,3,1,2,plaice american (dab),12,1,Bio,Male,I,G102,3892,,13,
FL05,3,1,2,plaice american (dab),13,1,Bio,Male,I,G102,3899,,14,
FL05,3,1,2,plaice american (dab),13,1,Bio,Male,I,G102,3888,,15,
FL05,3,1,2,plaice american (dab),16,1,Bio,Male,T,G102,3897,,34,
FL05,3,1,2,plaice american (dab),16,1,Bio,Male,T,G102,3898,,23,
FL05,3,1,2,plaice american (dab),17,1,Bio,Male,T,G102,3891,,44,
FL05,3,1,2,plaice american (dab),17,1,Bio,Female,I,G102,3902,,32,
FL05,3,1,2,plaice american (dab),20,1,Bio,Female,I,G102,3894,,49,
FL05,3,1,2,plaice american (dab),21,1,Bio,Female,I,G102,3903,,72,
FL05,3,1,2,plaice american (dab),21,1,Bio,Male,T,G102,3900,,70,
FL05,3,1,2,plaice american (dab),22,1,Bio,Male,T,G102,3886,,73,
FL05,3,1,2,plaice american (dab),22,1,Bio,Female,T,G102,3907,,119,
FL05,3,1,2,plaice american (dab),23,1,Bio,Male,T,G102,3901,,105,
FL05,3,1,2,plaice american (dab),23,1,Bio,Female,D,G102,3908,,97,
FL05,3,1,2,plaice american (dab),25,1,Bio,Female,T,G102,3912,,108,
FL05,3,1,2,plaice american (dab),26,1,Bio,Female,T,G102,3887,,143,
FL05,3,1,2,plaice american (dab),26,1,Bio,Female,T,G102,3890,,133,
FL05,3,1,2,plaice american (dab),28,1,Bio,Female,T,G102,3905,,215,
FL05,3,1,2,plaice american (dab),29,1,Bio,Female,T,G102,3910,,132,
FL05,3,1,2,plaice american (dab),29,1,Bio,Female,T,G102,3911,,203,
FL05,3,1,2,plaice american (dab),30,1,Bio,Female,T,G102,3909,,234,
FL05,3,1,2,plaice american (dab),30,1,Bio,Female,D,G102,3913,,219,
FL05,3,1,2,plaice american (dab),30,1,Bio,Female,T,G102,3896,,199,
FL05,3,1,2,plaice american (dab),34,1,Bio,Female,D,G102,3906,,366,
FL05,4,1,1,cod atlantic,10,1,Bio,Male,I,G073,4057,,9,empty
FL05,4,1,1,cod atlantic,10,1,Bio,,,G073,4062,,7,
FL05,4,1,1,cod atlantic,11,1,Bio,,,G073,4053,,8,
FL05,4,1,1,cod atlantic,11,1,Bio,,,G073,4061,,11,
FL05,4,1,1,cod atlantic,11,1,Bio,Male,I,G073,4048,,8,.2 cc
FL05,4,1,1,cod atlantic,12,1,Bio,,,G073,4060,,14,
FL05,4,1,1,cod atlantic,12,1,Bio,,,G073,4051,,12,
FL05,4,1,1,cod atlantic,12,1,Bio,,,G073,4054,,12,
FL05,4,1,1,cod atlantic,12,1,Bio,,,G073,4055,,20,
FL05,4,1,1,cod atlantic,12,1,Bio,,,G073,4056,,11,
FL05,4,1,1,cod atlantic,12,1,Bio,,,G073,4058,,11,
FL05,4,1,1,cod atlantic,12,1,Bio,,,G073,4059,,11,
FL05,4,1,1,cod atlantic,12,1,Bio,Female,I,G073,4046,,10,.05 cc
FL05,4,1,1,cod atlantic,13,1,Bio,Female,I,G073,4043,,15,.1 cc
FL05,4,1,1,cod atlantic,13,1,Bio,,,G073,4050,,11,
FL05,4,1,1,cod atlantic,13,1,Bio,,,G073,4052,,13,
FL05,4,1,1,cod atlantic,14,1,Bio,Male,I,G073,4049,,18,1.0 cc
FL05,4,1,1,cod atlantic,15,1,Bio,Female,I,G073,4045,,27,
FL05,4,1,1,cod atlantic,15,1,Bio,Male,I,G073,4039,,45,1.0 cc
FL05,4,1,1,cod atlantic,15,1,Bio,Female,I,G073,4041,,28,
FL05,4,1,1,cod atlantic,15,1,Bio,,,G073,4047,,27,
FL05,4,1,1,cod atlantic,16,1,Bio,Female,I,G073,4042,,30,
FL05,4,1,1,cod atlantic,16,1,Bio,Female,I,G073,4038,,26,
FL05,4,1,1,cod atlantic,16,1,Bio,Male,I,G073,4037,,38,1.5 cc
FL05,4,1,1,cod atlantic,16,1,Bio,Female,I,G073,4040,,42,
FL05,4,1,1,cod atlantic,17,1,Bio,Female,I,G073,4036,,50,.8 cc
FL05,4,1,1,cod atlantic,17,1,Bio,Male,I,G073,4044,,38,
FL05,4,1,1,flounder winter,12,1,Bio,Female,I,G106,4035,,15,
FL05,4,1,1,flounder winter,12,1,Bio,Female,I,G106,4021,,25,
FL05,4,1,1,flounder winter,13,1,Bio,Female,I,G106,4030,,25,
FL05,4,1,1,flounder winter,14,1,Bio,Female,I,G106,4033,,42,
FL05,4,1,1,flounder winter,16,1,Bio,Female,I,G106,4028,,55,
FL05,4,1,1,flounder winter,16,1,Bio,Female,I,G106,4012,,46,
FL05,4,1,1,flounder winter,17,1,Bio,Male,T,G106,4029,,60,
FL05,4,1,1,flounder winter,17,1,Bio,Female,I,G106,4034,,60,
FL05,4,1,1,flounder winter,17,1,Bio,Male,D,G106,4025,,53,
FL05,4,1,1,flounder winter,17,1,Bio,Male,T,G106,4014,,58,
FL05,4,1,1,flounder winter,18,1,Bio,Male,T,G106,4022,,72,
FL05,4,1,1,flounder winter,19,1,Bio,Male,T,G106,4020,,80,
FL05,4,1,1,flounder winter,19,1,Bio,Female,I,G106,4032,,77,
FL05,4,1,1,flounder winter,20,1,Bio,Male,T,G106,4018,,85,
FL05,4,1,1,flounder winter,21,1,Bio,Female,T,G106,4026,,95,
FL05,4,1,1,flounder winter,21,1,Bio,Male,T,G106,4019,,100,
FL05,4,1,1,flounder winter,22,1,Bio,Female,T,G106,4024,,127,
FL05,4,1,1,flounder winter,24,1,Bio,Male,D,G106,4027,,163,
FL05,4,1,1,flounder winter,29,1,Bio,Female,T,G106,4031,,303,
FL05,4,1,1,flounder winter,29,1,Bio,Female,T,G106,4015,,289,
FL05,4,1,1,flounder winter,30,1,Bio,Female,T,G106,4013,,381,
FL05,4,1,1,flounder winter,34,1,Bio,Female,T,G106,4017,,467,
FL05,4,1,1,flounder winter,35,1,Bio,Female,T,G106,4011,,512,
FL05,4,1,1,flounder winter,37,1,Bio,Male,T,G106,4016,,717,
FL05,4,1,1,flounder winter,38,1,Bio,Female,T,G106,4023,,681,
FL05,4,1,1,flounder yellowtail,28,1,Bio,Male,T,G105,4007,,153,
FL05,4,1,1,flounder yellowtail,30,1,Bio,Male,T,G105,4006,,230,
FL05,4,1,1,flounder yellowtail,31,1,Bio,Female,T,G105,4009,,240,
FL05,4,1,1,flounder yellowtail,32,1,Bio,Male,T,G105,4010,,233,
FL05,4,1,1,flounder yellowtail,33,1,Bio,Female,T,G105,4008,,270,
FL05,4,1,1,haddock,9,1,Bio,Male,I,G074,4069,0,10,.25 cc
FL05,4,1,1,haddock,11,1,Bio,,I,G074,4068,,14,
FL05,4,1,1,haddock,11,1,Bio,Male,I,G074,4067,0,11,.2 cc
FL05,4,1,1,haddock,12,1,Bio,Male,I,G074,4065,,13,.4 cc
FL05,4,1,1,haddock,12,1,Bio,Female,I,G074,4066,,18,
FL05,4,1,1,haddock,12,1,Bio,Male,I,G074,4064,0,16,.2 cc
FL05,4,1,1,haddock,14,1,Bio,Male,I,G074,4063,,22,.25 cc
FL05,4,1,1,sea raven,34,1,Bio,,,G164,4070,,645,empty
FL05,5,1,3,cod atlantic,20,1,Bio,Male,I,G073,4090,,64,0.75 cc
FL05,5,1,3,cod atlantic,26,1,Bio,Male,T,G073,4083,,179,
FL05,5,1,3,cod atlantic,27,1,Bio,Male,T,G073,4096,,212,
FL05,5,1,3,cod atlantic,27,1,Bio,Male,T,G073,4095,,182,
FL05,5,1,3,cod atlantic,29,1,Bio,Female,T,G073,4081,,216,4.0 cc
FL05,5,1,3,cod atlantic,30,1,Bio,Female,T,G073,4091,,258,
FL05,5,1,3,cod atlantic,30,1,Bio,Male,T,G073,4094,,272,
FL05,5,1,3,cod atlantic,30,1,Bio,Female,T,G073,4092,,234,
FL05,5,1,3,cod atlantic,32,1,Bio,Male,T,G073,4100,,322,
FL05,5,1,3,cod atlantic,32,1,Bio,Male,T,G073,4085,,380,4.0 cc
FL05,5,1,3,cod atlantic,37,1,Bio,Male,T,G073,4086,,508,
FL05,5,1,3,cod atlantic,37,1,Bio,Female,T,G073,4103,,552,15.0 cc
FL05,5,1,3,cod atlantic,38,1,Bio,Male,T,G073,4104,,568,
FL05,5,1,3,cod atlantic,40,1,Bio,Female,T,G073,4078,,645,4.0 cc
FL05,5,1,3,cod atlantic,42,1,Bio,Male,T,G073,4088,,722,
FL05,5,1,3,cod atlantic,42,1,Bio,Male,T,G073,4098,,732,
FL05,5,1,3,cod atlantic,43,1,Bio,Female,T,G073,4101,,882,
FL05,5,1,3,cod atlantic,47,1,Bio,Female,T,G073,4082,,920,5.0 cc
FL05,5,1,3,cod atlantic,52,1,Bio,Female,T,G073,4079,,1420,8.0 cc
FL05,5,1,3,cod atlantic,52,1,Bio,Male,T,G073,4089,,1340,
FL05,5,1,3,cod atlantic,52,1,Bio,Female,T,G073,4080,,1410,97.0 cc
FL05,5,1,3,cod atlantic,54,1,Bio,Male,T,G073,4093,,1620,
FL05,5,1,3,cod atlantic,54,1,Bio,Female,T,G073,4084,,1640,
FL05,5,1,3,cod atlantic,54,1,Bio,Male,T,G073,4087,,1540,
FL05,5,1,3,cod atlantic,56,1,Bio,Male,T,G073,4077,,1760,empty
FL05,5,1,3,cod atlantic,56,1,Bio,Male,T,G073,4099,,1840,
FL05,5,1,3,cod atlantic,60,1,Bio,Male,T,G073,4105,,2180,
FL05,5,1,3,cod atlantic,66,1,Bio,Female,T,G073,4097,,2860,blown
FL05,5,1,3,cod atlantic,66,1,Bio,Female,T,G073,4102,,3200,
FL05,5,1,3,cod atlantic,72,1,Bio,Female,T,G073,4106,,3820,55.0 cc
FL05,6,1,4,cod atlantic,13,1,Bio,Female,I,G073,4135,,18,empty
FL05,6,1,4,cod atlantic,35,1,Bio,Female,T,G073,4132,,436,13.0 cc
FL05,6,1,4,cod atlantic,37,1,Bio,Male,T,G073,4133,,469,1.0 cc
FL05,6,1,4,cod atlantic,42,1,Bio,Male,T,G073,4131,,710,20.0 cc
FL05,6,1,4,cod atlantic,49,1,Bio,Female,T,G073,4134,,1158,empty
FL05,6,1,4,flounder atlantic witch (gray sole),14,1,Bio,Male,I,G107,4121,,18,
FL05,6,1,4,flounder atlantic witch (gray sole),14,1,Bio,Female,I,G107,4129,,22,
FL05,6,1,4,flounder atlantic witch (gray sole),14,1,Bio,Female,I,G107,4128,,16,
FL05,6,1,4,flounder atlantic witch (gray sole),14,1,Bio,Male,I,G107,4126,,19,
FL05,6,1,4,flounder atlantic witch (gray sole),14,1,Bio,Female,I,G107,4130,,16,
FL05,6,1,4,flounder atlantic witch (gray sole),15,1,Bio,Female,I,G107,4127,,23,
FL05,6,1,4,flounder atlantic witch (gray sole),15,1,Bio,Male,I,G107,4125,,21,
FL05,6,1,4,flounder atlantic witch (gray sole),16,1,Bio,Male,I,G107,4122,,18,
FL05,6,1,4,flounder atlantic witch (gray sole),36,1,Bio,Male,D,G107,4124,,313,
FL05,6,1,4,flounder atlantic witch (gray sole),41,1,Bio,Female,T,G107,4120,,406,
